[2025-01-23 14:25:29,729][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 14:25:29,729][INFO] params["in_chans"]=[200, 16] python run_model.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 14:25:29,729][INFO] params["dims"]=[512, 512] 温度参数为0.55
[2025-01-23 14:25:29,729][INFO] params["out_chans"]=[16, 8]
[2025-01-23 14:25:29,729][INFO] params["heads"]=[8, 4]
[2025-01-23 14:25:29,731][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-23 16:01:33,635][INFO] Epoch[44/80], train B-acc: 0.9492(0.8958-0.9865), test B-acc: 0.6597(0.5623-0.7536)
[2025-01-23 16:01:33,636][INFO] Epoch[44/80], train AUC: 0.9901(0.9786-0.9978), test AUC: 0.7736(0.6601-0.8619)
[2025-01-23 16:03:42,141][INFO] Epoch[45/80], loss:1.5469, CE loss:0.4418, info NCE loss:1.1051
[2025-01-23 16:03:42,141][INFO] Epoch[45/80], train B-acc: 0.9124(0.8467-0.9630), test B-acc: 0.6378(0.5431-0.7331)
[2025-01-23 16:03:42,141][INFO] Epoch[45/80], train AUC: 0.9912(0.9805-0.9980), test AUC: 0.7740(0.6674-0.8638)
[2025-01-23 16:05:50,314][INFO] Epoch[46/80], loss:1.5442, CE loss:0.4400, info NCE loss:1.1041
[2025-01-23 16:05:50,315][INFO] Epoch[46/80], train B-acc: 0.9458(0.8915-0.9839), test B-acc: 0.6678(0.5713-0.7666)
[2025-01-23 16:05:50,315][INFO] Epoch[46/80], train AUC: 0.9921(0.9813-0.9979), test AUC: 0.7679(0.6642-0.8536)
[2025-01-23 16:07:59,437][INFO] Epoch[47/80], loss:1.5435, CE loss:0.4397, info NCE loss:1.1038
[2025-01-23 16:07:59,438][INFO] Epoch[47/80], train B-acc: 0.9244(0.8604-0.9737), test B-acc: 0.6390(0.5429-0.7365)
[2025-01-23 16:07:59,438][INFO] Epoch[47/80], train AUC: 0.9928(0.9837-0.9986), test AUC: 0.7691(0.6685-0.8582)
[2025-01-23 16:10:07,365][INFO] Epoch[48/80], loss:1.5411, CE loss:0.4380, info NCE loss:1.1031
[2025-01-23 16:10:07,365][INFO] Epoch[48/80], train B-acc: 0.9446(0.8930-0.9856), test B-acc: 0.6706(0.5778-0.7636)
[2025-01-23 16:10:07,365][INFO] Epoch[48/80], train AUC: 0.9936(0.9833-0.9989), test AUC: 0.7612(0.6575-0.8557)
[2025-01-23 16:12:15,020][INFO] Epoch[49/80], loss:1.5389, CE loss:0.4367, info NCE loss:1.1021
[2025-01-23 16:12:15,020][INFO] Epoch[49/80], train B-acc: 0.9487(0.8974-0.9860), test B-acc: 0.6678(0.5737-0.7665)
[2025-01-23 16:12:15,020][INFO] Epoch[49/80], train AUC: 0.9946(0.9859-0.9989), test AUC: 0.7602(0.6667-0.8608)
[2025-01-23 16:14:22,662][INFO] Epoch[50/80], loss:1.5365, CE loss:0.4350, info NCE loss:1.1015
[2025-01-23 16:14:22,662][INFO] Epoch[50/80], train B-acc: 0.9371(0.8848-0.9817), test B-acc: 0.6477(0.5574-0.7487)
[2025-01-23 16:14:22,662][INFO] Epoch[50/80], train AUC: 0.9950(0.9882-0.9991), test AUC: 0.7625(0.6558-0.8569)
[2025-01-23 16:16:30,298][INFO] Epoch[51/80], loss:1.5355, CE loss:0.4344, info NCE loss:1.1011
[2025-01-23 16:16:30,298][INFO] Epoch[51/80], train B-acc: 0.9492(0.8982-0.9854), test B-acc: 0.6642(0.5750-0.7583)
[2025-01-23 16:16:30,298][INFO] Epoch[51/80], train AUC: 0.9957(0.9887-0.9994), test AUC: 0.7595(0.6614-0.8528)
